year,city,country,avg_temp
1920,Istanbul,Turkey,12.74
1921,Istanbul,Turkey,12.95
1922,Istanbul,Turkey,13.76
1923,Istanbul,Turkey,14.46
1924,Istanbul,Turkey,13.42
1925,Istanbul,Turkey,13.91
1926,Istanbul,Turkey,14.03
1927,Istanbul,Turkey,14.29
1928,Istanbul,Turkey,13.37
1929,Istanbul,Turkey,13.29
1930,Istanbul,Turkey,14.36
1931,Istanbul,Turkey,13.66
1932,Istanbul,Turkey,13.84
1933,Istanbul,Turkey,12.68
1934,Istanbul,Turkey,14.20
1935,Istanbul,Turkey,13.94
1936,Istanbul,Turkey,14.22
1937,Istanbul,Turkey,14.79
1938,Istanbul,Turkey,13.79
1939,Istanbul,Turkey,14.23
1940,Istanbul,Turkey,13.40
1941,Istanbul,Turkey,13.32
1942,Istanbul,Turkey,12.97
1943,Istanbul,Turkey,13.16
1944,Istanbul,Turkey,13.80
1945,Istanbul,Turkey,13.32
1946,Istanbul,Turkey,14.21
1947,Istanbul,Turkey,14.31
1948,Istanbul,Turkey,13.09
1949,Istanbul,Turkey,12.78
1950,Istanbul,Turkey,13.83
1951,Istanbul,Turkey,14.23
1952,Istanbul,Turkey,14.64
1953,Istanbul,Turkey,13.03
1954,Istanbul,Turkey,13.63
1955,Istanbul,Turkey,14.57
1956,Istanbul,Turkey,12.95
1957,Istanbul,Turkey,14.09
1958,Istanbul,Turkey,14.24
1959,Istanbul,Turkey,13.03
1960,Istanbul,Turkey,14.30
1961,Istanbul,Turkey,14.04
1962,Istanbul,Turkey,14.65
1963,Istanbul,Turkey,14.07
1964,Istanbul,Turkey,13.12
1965,Istanbul,Turkey,13.48
1966,Istanbul,Turkey,15.22
1967,Istanbul,Turkey,13.47
1968,Istanbul,Turkey,13.71
1969,Istanbul,Turkey,13.79
1970,Istanbul,Turkey,14.27
1971,Istanbul,Turkey,13.77
1972,Istanbul,Turkey,13.48
1973,Istanbul,Turkey,13.31
1974,Istanbul,Turkey,13.37
1975,Istanbul,Turkey,13.95
1976,Istanbul,Turkey,12.85
1977,Istanbul,Turkey,13.94
1978,Istanbul,Turkey,13.71
1979,Istanbul,Turkey,14.37
1980,Istanbul,Turkey,13.51
1981,Istanbul,Turkey,13.99
1982,Istanbul,Turkey,13.46
1983,Istanbul,Turkey,13.61
1984,Istanbul,Turkey,13.70
1985,Istanbul,Turkey,13.47
1986,Istanbul,Turkey,13.79
1987,Istanbul,Turkey,13.19
1988,Istanbul,Turkey,13.66
